exp,acc_eval,c_prim_eval,acc_test,c_prim_test,acc_test_3s,c_prim_test_3s
mfcc,0.9413,0.0773,0.9426,0.0660,0.8746,0.1477
mfcc+energy,0.9442,0.0732,0.9556,0.0556,0.8779,0.1486
mfcc+pitch,0.9496,0.0655,0.9503,0.0624,0.8857,0.1382
mfcc+pitch+energy,0.9503,0.0644,0.9582,0.0501,0.8895,0.1319
mfcc+pitch_energy,0.9613,0.0501,0.9682,0.0382,0.9104,0.1071
mfcc_deltas,0.9442,0.0736,0.9522,0.0567,0.8855,0.1380
mfcc_deltas+pitch,0.9491,0.0657,0.9610,0.0467,0.8999,0.1204
mfcc_deltas+energy,0.9449,0.0740,0.9598,0.0508,0.8857,0.1403
mfcc_deltas+pitch+energy,0.9472,0.0706,0.9594,0.0511,0.8949,0.1290
mfcc_deltas+pitch_energy,0.9618,0.0503,0.9713,0.0343,0.9178,0.0993
sdc,0.9481,0.0670,0.9526,0.0543,0.8677,0.1575
sdc+pitch,0.9431,0.0703,0.9493,0.0622,0.8814,0.1423
sdc+energy,0.9333,0.0858,0.9467,0.0674,0.8635,0.1673
sdc+pitch+energy,0.9420,0.0696,0.9538,0.0545,0.8833,0.1391
sdc+pitch_energy,0.9606,0.0482,0.9684,0.0376,0.9056,0.1136
pitch,0.6998,0.3781,0.7324,0.3269,0.5752,0.5260
energy,0.7214,0.3551,0.7484,0.3067,0.5776,0.5196
pitch+energy,0.8119,0.2390,0.8506,0.1801,0.7155,0.3470
pitch_energy,0.8612,0.1741,0.8717,0.1535,0.7427,0.3142
